Episode Id,Sample Method,Labeled Pool,Num of classification,max_density,min_density,Accuracy
1,CS1,100,487,0.0,0.0,0.9856262833675564
2,CS1,200,1661,0.0,0.01,0.9566526189042746
2,CS1,200,1661,0.0,0.02,0.9566526189042746
2,CS1,200,1661,0.0,0.03,0.9566526189042746
2,CS1,200,1661,0.0,0.04,0.9566526189042746
2,CS1,200,1661,0.0,0.05,0.9566526189042746
2,CS1,200,1661,0.0,0.060000000000000005,0.9566526189042746
2,CS1,200,1661,0.0,0.06999999999999999,0.9566526189042746
2,CS1,200,1661,0.0,0.08,0.9566526189042746
2,CS1,200,1661,0.0,0.09,0.9566526189042746
2,CS1,200,1661,0.0,0.09999999999999999,0.9566526189042746
2,CS1,200,1661,0.0,0.11,0.9566526189042746
2,CS1,200,1661,0.0,0.12,0.9566526189042746
2,CS1,200,1658,0.0,0.13,0.9571773220747889
2,CS1,200,1658,0.0,0.14,0.9571773220747889
2,CS1,200,1658,0.0,0.15000000000000002,0.9571773220747889
2,CS1,200,1658,0.0,0.16,0.9571773220747889
2,CS1,200,1655,0.0,0.17,0.9570996978851963
2,CS1,200,1655,0.0,0.18000000000000002,0.9570996978851963
2,CS1,200,1655,0.0,0.19,0.9570996978851963
2,CS1,200,1655,0.0,0.2,0.9570996978851963
2,CS1,200,1655,0.0,0.21000000000000002,0.9570996978851963
2,CS1,200,1654,0.0,0.22,0.9570737605804112
2,CS1,200,1654,0.0,0.23,0.9570737605804112
2,CS1,200,1654,0.0,0.24000000000000002,0.9570737605804112
2,CS1,200,1654,0.0,0.25,0.9570737605804112
2,CS1,200,1654,0.0,0.26,0.9570737605804112
2,CS1,200,1654,0.0,0.27,0.9570737605804112
2,CS1,200,1654,0.0,0.28,0.9570737605804112
2,CS1,200,1654,0.0,0.29000000000000004,0.9570737605804112
2,CS1,200,1654,0.0,0.3,0.9570737605804112
2,CS1,200,1644,0.0,0.31,0.9574209245742092
2,CS1,200,1644,0.0,0.32,0.9574209245742092
2,CS1,200,1644,0.0,0.33,0.9574209245742092
2,CS1,200,1644,0.0,0.34,0.9574209245742092
2,CS1,200,1644,0.0,0.35000000000000003,0.9574209245742092
2,CS1,200,1644,0.0,0.36000000000000004,0.9574209245742092
2,CS1,200,1644,0.0,0.37,0.9574209245742092
2,CS1,200,1628,0.0,0.38,0.957002457002457
2,CS1,200,1628,0.0,0.39,0.957002457002457
2,CS1,200,1628,0.0,0.4,0.957002457002457
2,CS1,200,1628,0.0,0.41000000000000003,0.957002457002457
2,CS1,200,1618,0.0,0.42000000000000004,0.9567367119901112
2,CS1,200,1618,0.0,0.43,0.9567367119901112
2,CS1,200,1618,0.0,0.44,0.9567367119901112
2,CS1,200,1618,0.0,0.45,0.9567367119901112
2,CS1,200,1618,0.0,0.46,0.9567367119901112
2,CS1,200,1603,0.0,0.47000000000000003,0.9588271990018715
2,CS1,200,1603,0.0,0.48000000000000004,0.9588271990018715
2,CS1,200,1598,0.0,0.49,0.9586983729662077
2,CS1,200,1598,0.0,0.5,0.9586983729662077
2,CS1,200,1588,0.0,0.51,0.9590680100755667
2,CS1,200,1588,0.0,0.52,0.9590680100755667
2,CS1,200,1588,0.0,0.53,0.9590680100755667
2,CS1,200,1573,0.0,0.54,0.9618563254926892
2,CS1,200,1573,0.0,0.55,0.9618563254926892
2,CS1,200,1573,0.0,0.56,0.9618563254926892
2,CS1,200,1573,0.0,0.5700000000000001,0.9618563254926892
2,CS1,200,1550,0.0,0.5800000000000001,0.9612903225806452
2,CS1,200,1533,0.0,0.59,0.9615133724722765
2,CS1,200,1533,0.0,0.6,0.9615133724722765
2,CS1,200,1533,0.0,0.61,0.9615133724722765
2,CS1,200,1533,0.0,0.62,0.9615133724722765
2,CS1,200,1533,0.0,0.63,0.9615133724722765
2,CS1,200,1533,0.0,0.64,0.9615133724722765
2,CS1,200,1489,0.0,0.65,0.964405641370047
2,CS1,200,1489,0.0,0.66,0.964405641370047
2,CS1,200,1489,0.0,0.67,0.964405641370047
2,CS1,200,1454,0.0,0.68,0.9656121045392022
2,CS1,200,1454,0.0,0.6900000000000001,0.9656121045392022
2,CS1,200,1426,0.0,0.7000000000000001,0.9691444600280504
2,CS1,200,1426,0.0,0.7100000000000001,0.9691444600280504
2,CS1,200,1426,0.0,0.72,0.9691444600280504
2,CS1,200,1426,0.0,0.73,0.9691444600280504
