Episode Id,Sample Method,Labeled Pool,Num of classification,max_density,min_density,Accuracy
1,CS1,100,19,0.0,0.0,0.8421052631578947
2,CS1,200,20,0.0,0.01,1.0
2,CS1,200,20,0.0,0.02,1.0
2,CS1,200,20,0.0,0.03,1.0
2,CS1,200,20,0.0,0.04,1.0
2,CS1,200,20,0.0,0.05,1.0
2,CS1,200,20,0.0,0.060000000000000005,1.0
2,CS1,200,20,0.0,0.06999999999999999,1.0
2,CS1,200,20,0.0,0.08,1.0
2,CS1,200,20,0.0,0.09,1.0
2,CS1,200,20,0.0,0.09999999999999999,1.0
2,CS1,200,20,0.0,0.11,1.0
2,CS1,200,20,0.0,0.12,1.0
2,CS1,200,20,0.0,0.13,1.0
2,CS1,200,20,0.0,0.14,1.0
2,CS1,200,20,0.0,0.15000000000000002,1.0
2,CS1,200,20,0.0,0.16,1.0
2,CS1,200,20,0.0,0.17,1.0
2,CS1,200,20,0.0,0.18000000000000002,1.0
2,CS1,200,20,0.0,0.19,1.0
2,CS1,200,20,0.0,0.2,1.0
2,CS1,200,20,0.0,0.21000000000000002,1.0
2,CS1,200,20,0.0,0.22,1.0
2,CS1,200,20,0.0,0.23,1.0
2,CS1,200,20,0.0,0.24000000000000002,1.0
2,CS1,200,20,0.0,0.25,1.0
2,CS1,200,19,0.0,0.26,1.0
2,CS1,200,19,0.0,0.27,1.0
2,CS1,200,19,0.0,0.28,1.0
2,CS1,200,19,0.0,0.29000000000000004,1.0
2,CS1,200,19,0.0,0.3,1.0
2,CS1,200,19,0.0,0.31,1.0
2,CS1,200,19,0.0,0.32,1.0
2,CS1,200,19,0.0,0.33,1.0
2,CS1,200,19,0.0,0.34,1.0
2,CS1,200,19,0.0,0.35000000000000003,1.0
2,CS1,200,19,0.0,0.36000000000000004,1.0
2,CS1,200,19,0.0,0.37,1.0
2,CS1,200,19,0.0,0.38,1.0
2,CS1,200,19,0.0,0.39,1.0
2,CS1,200,19,0.0,0.4,1.0
2,CS1,200,19,0.0,0.41000000000000003,1.0
2,CS1,200,19,0.0,0.42000000000000004,1.0
2,CS1,200,19,0.0,0.43,1.0
2,CS1,200,19,0.0,0.44,1.0
2,CS1,200,19,0.0,0.45,1.0
2,CS1,200,19,0.0,0.46,1.0
2,CS1,200,19,0.0,0.47000000000000003,1.0
2,CS1,200,19,0.0,0.48000000000000004,1.0
2,CS1,200,19,0.0,0.49,1.0
2,CS1,200,19,0.0,0.5,1.0
2,CS1,200,17,0.0,0.51,1.0
2,CS1,200,17,0.0,0.52,1.0
2,CS1,200,17,0.0,0.53,1.0
2,CS1,200,17,0.0,0.54,1.0
2,CS1,200,17,0.0,0.55,1.0
2,CS1,200,17,0.0,0.56,1.0
2,CS1,200,17,0.0,0.5700000000000001,1.0
2,CS1,200,17,0.0,0.5800000000000001,1.0
2,CS1,200,17,0.0,0.59,1.0
2,CS1,200,17,0.0,0.6,1.0
2,CS1,200,17,0.0,0.61,1.0
2,CS1,200,17,0.0,0.62,1.0
