Episode Id,Sample Method,Labeled Pool,Num of classification,max_density,min_density,Accuracy
1,CS1,100,1828,0.0,0.0,0.9589715536105032
2,CS1,200,2315,0.0,0.0,0.9585313174946004
3,CS1,300,2827,0.0,0.0,0.9695790590732225
4,CS1,400,2879,0.0,0.0,0.9642236887808266
5,CS1,500,2588,0.0,0.0,0.9698608964451314
6,CS1,600,3382,0.0,0.0,0.9615612063867534
7,CS1,700,3513,0.0,0.0,0.941645317392542
8,CS1,800,3369,0.0,0.0,0.9525081626595429
9,CS1,900,3504,0.0,0.0,0.9511986301369864
10,CS1,1000,3789,0.0,0.0,0.9427289522301399
11,CS2,1000,27,0.0,0.0,0.0
