Episode Id,Sample Method,Labeled Pool,Num of classification,max_density,min_density,Accuracy
1,CS1,50,581,0.0,0.0,0.9982788296041308
2,CS1,100,2315,0.0,0.01,0.9995680345572354
2,CS1,100,2315,0.0,0.02,0.9995680345572354
2,CS1,100,2315,0.0,0.03,0.9995680345572354
2,CS1,100,2315,0.0,0.04,0.9995680345572354
2,CS1,100,2315,0.0,0.05,0.9995680345572354
2,CS1,100,2315,0.0,0.060000000000000005,0.9995680345572354
2,CS1,100,2315,0.0,0.06999999999999999,0.9995680345572354
2,CS1,100,2315,0.0,0.08,0.9995680345572354
2,CS1,100,2315,0.0,0.09,0.9995680345572354
2,CS1,100,2315,0.0,0.09999999999999999,0.9995680345572354
2,CS1,100,2315,0.0,0.11,0.9995680345572354
2,CS1,100,2315,0.0,0.12,0.9995680345572354
2,CS1,100,2314,0.0,0.13,0.9995678478824547
2,CS1,100,2314,0.0,0.14,0.9995678478824547
2,CS1,100,2314,0.0,0.15000000000000002,0.9995678478824547
2,CS1,100,2314,0.0,0.16,0.9995678478824547
2,CS1,100,2314,0.0,0.17,0.9995678478824547
2,CS1,100,2314,0.0,0.18000000000000002,0.9995678478824547
2,CS1,100,2314,0.0,0.19,0.9995678478824547
2,CS1,100,2308,0.0,0.2,0.9995667244367418
2,CS1,100,2308,0.0,0.21000000000000002,0.9995667244367418
2,CS1,100,2308,0.0,0.22,0.9995667244367418
2,CS1,100,2308,0.0,0.23,0.9995667244367418
2,CS1,100,2307,0.0,0.24000000000000002,0.9995665366276549
2,CS1,100,2307,0.0,0.25,0.9995665366276549
2,CS1,100,2307,0.0,0.26,0.9995665366276549
2,CS1,100,2307,0.0,0.27,0.9995665366276549
2,CS1,100,2304,0.0,0.28,0.9995659722222222
2,CS1,100,2304,0.0,0.29000000000000004,0.9995659722222222
2,CS1,100,2304,0.0,0.3,0.9995659722222222
2,CS1,100,2304,0.0,0.31,0.9995659722222222
2,CS1,100,2299,0.0,0.32,0.9995650282731623
2,CS1,100,2299,0.0,0.33,0.9995650282731623
2,CS1,100,2299,0.0,0.34,0.9995650282731623
2,CS1,100,2294,0.0,0.35000000000000003,0.9995640802092415
2,CS1,100,2294,0.0,0.36000000000000004,0.9995640802092415
2,CS1,100,2294,0.0,0.37,0.9995640802092415
2,CS1,100,2294,0.0,0.38,0.9995640802092415
2,CS1,100,2294,0.0,0.39,0.9995640802092415
2,CS1,100,2294,0.0,0.4,0.9995640802092415
2,CS1,100,2294,0.0,0.41000000000000003,0.9995640802092415
2,CS1,100,2294,0.0,0.42000000000000004,0.9995640802092415
2,CS1,100,2294,0.0,0.43,0.9995640802092415
2,CS1,100,2294,0.0,0.44,0.9995640802092415
2,CS1,100,2264,0.0,0.45,0.9995583038869258
2,CS1,100,2264,0.0,0.46,0.9995583038869258
2,CS1,100,2264,0.0,0.47000000000000003,0.9995583038869258
2,CS1,100,2264,0.0,0.48000000000000004,0.9995583038869258
2,CS1,100,2249,0.0,0.49,0.9995553579368608
2,CS1,100,2249,0.0,0.5,0.9995553579368608
2,CS1,100,2249,0.0,0.51,0.9995553579368608
2,CS1,100,2249,0.0,0.52,0.9995553579368608
2,CS1,100,2249,0.0,0.53,0.9995553579368608
2,CS1,100,2249,0.0,0.54,0.9995553579368608
2,CS1,100,2249,0.0,0.55,0.9995553579368608
2,CS1,100,2232,0.0,0.56,0.9995519713261649
2,CS1,100,2232,0.0,0.5700000000000001,0.9995519713261649
2,CS1,100,2224,0.0,0.5800000000000001,0.9995503597122302
2,CS1,100,2224,0.0,0.59,0.9995503597122302
2,CS1,100,2224,0.0,0.6,0.9995503597122302
2,CS1,100,2224,0.0,0.61,0.9995503597122302
2,CS1,100,2198,0.0,0.62,0.9995450409463148
2,CS1,100,2198,0.0,0.63,0.9995450409463148
2,CS1,100,2194,0.0,0.64,0.9995442114858706
2,CS1,100,2194,0.0,0.65,0.9995442114858706
2,CS1,100,2194,0.0,0.66,0.9995442114858706
2,CS1,100,2194,0.0,0.67,0.9995442114858706
2,CS1,100,2194,0.0,0.68,0.9995442114858706
2,CS1,100,2151,0.0,0.6900000000000001,0.99953509995351
2,CS1,100,2151,0.0,0.7000000000000001,0.99953509995351
2,CS1,100,2131,0.0,0.7100000000000001,0.999530736743313
2,CS1,100,2131,0.0,0.72,0.999530736743313
2,CS1,100,2094,0.0,0.73,1.0
2,CS1,100,2094,0.0,0.74,1.0
2,CS1,100,2068,0.0,0.75,1.0
2,CS1,100,2068,0.0,0.76,1.0
2,CS1,100,2026,0.0,0.77,1.0
2,CS1,100,2026,0.0,0.78,1.0
2,CS1,100,2021,0.0,0.79,1.0
2,CS1,100,2021,0.0,0.8,1.0
2,CS1,100,1959,0.0,0.81,1.0
2,CS1,100,1959,0.0,0.8200000000000001,1.0
2,CS1,100,1944,0.0,0.8300000000000001,1.0
